iter	Logloss
0	0.6922595982
1	0.6913745056
2	0.689667292133	0.688787966144	0.6876264465	5	0.6866253106	6	0.6856894307	7	0.684781888	08	0.683742609	09	0.6823705310	10	0.6811418911	0.6820988241
12	0.680863268
13	0.6798205247
14	0.6788779605
15	0.6777153785
16	0.6765954667
17	0.6754919002
18	0.6747405667
19	0.6738143802
20	0.6731712272
21	0.6720242865
22	0.6712754676
23	0.6704910612
24	0.6693676193
25	0.668528004
26	0.6675254625
27	0.6668002943
28	0.6659490722
29	0.6651888316
30	0.6643099857
31	0.6636116188
32	0.6626596474
33	0.661931705
34	0.6613034957
35	0.6604928699
36	0.6595747687
37	0.6588921938
38	0.6583468917
39	0.6574578821
40	0.6567313415
41	0.6561597616
42	0.6553511058
43	0.6544228371
44	0.6534983977
45	0.6531406626
46	0.6524606485
47	0.6511652159
48	0.6506146628
49	0.6499488458
50	0.6493436196
51	0.6487967147
52	0.6479517334
53	0.6472884982
54	0.6466039737
55	0.6459184681
56	0.6453852428
57	0.6446564285
58	0.6441698058
59	0.6437411006
60	0.6431168854
61	0.6423960741
62	0.6412984926
63	0.6402495366
64	0.6399572197
65	0.6391022782
66	0.638452379
67	0.6380756841
68	0.6376072153
69	0.636763524
70	0.6363321307
71	0.6357174225
72	0.6349052714
73	0.6344727579
74	0.6339890112
75	0.633335255
76	0.6326928554
77	0.6320779322
78	0.631288666
79	0.6306694173
80	0.630004182
81	0.6295743452
82	0.6291472969
83	0.6285049693
84	0.6279746271
85	0.627591314
86	0.6270705299
87	0.6262653549
88	0.62565502
89	0.6248758572
90	0.6243533146
91	0.6238665347
92	0.6233351133
93	0.622922592
94	0.6224734588
95	0.6220169724
96	0.6214244596
97	0.6209610199
98	0.6204472899
99	0.6198339353
100	0.6194554472
101	0.61857892
102	0.6177868152
103	0.6174589413
104	0.6166653132
105	0.6161793514
106	0.6158387342
107	0.6150411144
108	0.614442128
109	0.6142274343
110	0.613549545
111	0.6128824805
112	0.6121573522
113	0.6115332688
114	0.6112928183
115	0.6108430935
116	0.6104859846
117	0.6098912655
118	0.6096321781
119	0.6089775884
120	0.608395027
121	0.6078866556
122	0.6070526065
123	0.6062406058
124	0.6056271174
125	0.6052928048
126	0.6044339272
127	0.603984165
128	0.6036162875
129	0.6030806838
130	0.602685898
131	0.6024254965
132	0.6019720491
133	0.6014245351
134	0.60114616
135	0.6007088345
136	0.6003290004
137	0.5998686622
138	0.5989763042
139	0.5980902309
140	0.5977107329
141	0.5970816033
142	0.596706127
143	0.5962815881
144	0.5958120611
145	0.5954274274
146	0.5948457555
147	0.5942021118
148	0.5939194583
149	0.5935503632
150	0.5929552218
151	0.5925100242
152	0.5917567376
153	0.5912656056
154	0.590986114
155	0.5903706018
156	0.5898122962
157	0.5894513617
158	0.5890254266
159	0.5883465088
160	0.5879927097
161	0.5874811239
162	0.5870489442
163	0.5865827608
164	0.5863145935
165	0.5859303446
166	0.5855404031
167	0.5848762608
168	0.5844464448
169	0.5841887843
170	0.5837935087
171	0.5833112
172	0.5829143507
173	0.5826275631
174	0.5821365877
175	0.5815854284
176	0.5812274019
177	0.5806689589
178	0.5802032956
179	0.5798741301
180	0.5792077157
181	0.5788362979
182	0.5784471276
183	0.5780883672
184	0.5777868852
185	0.5774021353
186	0.5771930868
187	0.5768346393
188	0.5764740751
189	0.5759296879
190	0.5752245061
191	0.5750279248
192	0.5747665975
193	0.5740595838
194	0.5737824609
195	0.573418545
196	0.5732166138
197	0.5729705541
198	0.5726814304
199	0.5723455494
8653
4
