iter	Passed	Remaining
0	26	5268
1	48	4835
2	79	5251
3	111	5487
4	134	5262
5	157	5088
6	182	5035
7	206	4964
8	228	4846
9	251	4773
10	271	4667
11	294	4615
12	315	4533
13	343	4563
14	366	4524
15	389	4483
16	409	4404
17	437	4424
18	459	4378
19	483	4352
20	510	4351
21	549	4444
22	576	4433
23	610	4477
24	650	4554
25	691	4627
26	730	4681
27	772	4747
28	808	4769
29	832	4716
30	860	4692
31	882	4632
32	905	4582
33	930	4545
34	955	4503
35	976	4450
36	997	4395
37	1018	4340
38	1041	4299
39	1064	4258
40	1094	4245
41	1137	4277
42	1288	4703
43	1336	4739
44	1377	4743
45	1403	4699
46	1435	4671
47	1459	4620
48	1480	4563
49	1505	4516
50	1526	4459
51	1549	4410
52	1571	4358
53	1595	4314
54	1617	4264
55	1638	4213
56	1661	4167
57	1687	4132
58	1707	4081
59	1728	4033
60	1751	3991
61	1770	3941
62	1791	3894
63	1816	3859
64	1837	3816
65	1863	3783
66	1886	3745
67	1911	3710
68	1932	3668
69	1954	3629
70	1978	3594
71	1999	3555
72	2023	3521
73	2048	3487
74	2071	3452
75	2100	3427
76	2126	3397
77	2155	3372
78	2183	3343
79	2209	3314
80	2232	3279
81	2253	3242
82	2275	3207
83	2297	3172
84	2330	3152
85	2351	3116
86	2373	3083
87	2398	3052
88	2427	3027
89	2448	2992
90	2472	2960
91	2491	2925
92	2514	2893
93	2540	2864
94	2560	2830
95	2588	2803
96	2611	2772
97	2634	2741
98	2658	2712
99	2678	2678
100	2705	2651
101	2726	2619
102	2753	2593
103	2773	2560
104	2797	2531
105	2822	2502
106	2843	2471
107	2864	2439
108	2886	2409
109	2907	2378
110	2930	2349
111	2960	2325
112	2981	2295
113	3005	2267
114	3026	2237
115	3050	2209
116	3069	2177
117	3095	2151
118	3121	2124
119	3142	2095
120	3162	2065
121	3185	2036
122	3208	2008
123	3231	1980
124	3254	1952
125	3278	1925
126	3308	1901
127	3332	1874
128	3351	1844
129	3374	1817
130	3400	1790
131	3421	1762
132	3441	1733
133	3467	1707
134	3486	1678
135	3508	1651
136	3534	1625
137	3561	1600
138	3587	1574
139	3612	1548
140	3645	1525
141	3687	1506
142	3729	1486
143	3757	1461
144	3787	1436
145	3807	1408
146	3831	1381
147	3854	1354
148	3873	1325
149	3894	1298
150	3917	1271
151	3938	1243
152	3959	1216
153	3981	1189
154	4003	1162
155	4032	1137
156	4051	1109
157	4073	1082
158	4093	1055
159	4114	1028
160	4137	1002
161	4160	976
162	4183	949
163	4202	922
164	4227	896
165	4250	870
166	4276	844
167	4296	818
168	4316	791
169	4340	765
170	4365	740
171	4390	714
172	4412	688
173	4437	663
174	4463	637
175	4484	611
176	4504	585
177	4525	559
178	4544	533
179	4581	509
180	4612	484
181	4640	458
182	4687	435
183	4718	410
184	4751	385
185	4785	360
186	4809	334
187	4833	308
188	4854	282
189	4881	256
190	4904	231
191	4925	205
192	4942	179
193	4958	153
194	4974	127
195	4991	101
196	5007	76
197	5022	50
198	5036	25
199	5047	0
