iter	Logloss
0	0.6870222127
1	0.6815464294
2	0.674637124233	0.6686224174	4	0.662726735	05	0.65685126	0.6	0.65088107	0.7	0.64522518	08	0.639601669	09	0.6341139410	10	0.6286735111	11	0.6232797795
12	0.6178797213	13	0.6124473371
14	0.6072161988
15	0.6021117507
16	0.5970650944
17	0.5920354187
18	0.5869940865
19	0.5822096413
20	0.5774072411
21	0.5726252621
22	0.5679381945
23	0.5633371353
24	0.558792786
25	0.5542613354
26	0.5498405037
27	0.5453556176
28	0.541097455
29	0.5368744681
30	0.5326727404
31	0.5285687126
32	0.5243961222
33	0.520298903
34	0.5163688583
35	0.5123535205
36	0.5085215259
37	0.5047473429
38	0.5009808065
39	0.4972183357
40	0.4935742411
41	0.4899573009
42	0.4863964777
43	0.4829218705
44	0.4794037342
45	0.4759256879
46	0.4725725288
47	0.4692383325
48	0.4659461594
49	0.4626319385
50	0.4594520855
51	0.4562481232
52	0.4531675712
53	0.4501129119
54	0.4471137931
55	0.444127151
56	0.4411509061
57	0.4381563764
58	0.435245275
59	0.4324389045
60	0.4296298923
61	0.4268415099
62	0.4241699122
63	0.4214703012
64	0.4188007927
65	0.4161995242
66	0.4136140841
67	0.4106925316
68	0.4081857031
69	0.4056743137
70	0.4032038275
71	0.4008350684
72	0.3984628702
73	0.3961126883
74	0.3938168407
75	0.3915165146
76	0.3893122327
77	0.3871141783
78	0.3848751426
79	0.3827134842
80	0.3805246454
81	0.3784508861
82	0.3764065622
83	0.3743864192
84	0.3723930759
85	0.3703998039
86	0.3684094303
87	0.3664001294
88	0.3644660266
89	0.3625615143
90	0.3607038051
91	0.358857995
92	0.3570772182
93	0.355302585
94	0.3533987893
95	0.3516549141
96	0.3499655952
97	0.3482786611
98	0.3465858627
99	0.3448976758
100	0.3432726638
101	0.3416716236
102	0.3400235704
103	0.3384718449
104	0.3369391043
105	0.3353842421
106	0.3338882476
107	0.3323793952
108	0.330939483
109	0.3295254063
110	0.328076721
111	0.3266419404
112	0.3252255093
113	0.3238511768
114	0.3225279746
115	0.3211676297
116	0.3197965488
117	0.318510882
118	0.3171275351
119	0.3158883168
120	0.3145953334
121	0.3132223484
122	0.3119936521
123	0.3108051514
124	0.3096132176
125	0.3084524871
126	0.307271441
127	0.3060933503
128	0.3048857196
129	0.3037322597
130	0.3026348946
131	0.3015627393
132	0.3004449795
133	0.2993741718
134	0.2982041429
135	0.2971859933
136	0.2961596331
137	0.2951465213
138	0.2941719656
139	0.2931948497
140	0.2922574868
141	0.2912528862
142	0.2902794718
143	0.2893462678
144	0.2884304141
145	0.2874855776
146	0.2865791452
147	0.2857220119
148	0.2848479671
149	0.2839964838
150	0.2831314449
151	0.2823044035
152	0.2814865198
153	0.2806944457
154	0.2798958839
155	0.2791118332
156	0.2783217203
157	0.2775076055
158	0.2767272319
159	0.275982052
160	0.2752315162
161	0.2744799776
162	0.2737547189
163	0.272881946
164	0.2721190008
165	0.2714295577
166	0.2707032225
167	0.2699982288
168	0.2693073671
169	0.2686512171
170	0.2678380553
171	0.2671631965
172	0.2664223488
173	0.2657369614
174	0.2651179841
175	0.2644461478
176	0.2637817426
177	0.2631755996
178	0.2625784224
179	0.2619593898
180	0.2613481257
181	0.2607935703
182	0.2601598174
183	0.2596076228
184	0.2590425644
185	0.2584870302
186	0.2579735744
187	0.2573408683
188	0.2565630914
189	0.2560425764
190	0.2555484283
191	0.2549871997
192	0.2544697226
193	0.2539926669
194	0.2534976527
195	0.2530063479
196	0.2525548795
197	0.2520835371
198	0.2514072412
199	0.2509595332
