iter	Passed	Remaining
0	3	741
1	7	715
22	11	753	3	14	694	4	16	655	5	19	636	6	22	627	7	25	618	8	28	609	9	31	591010	34	581111	36	577
12	39	571313	42	564
14	44	552
15	47	544
16	49	537
17	52	531
18	55	531
19	58	525
20	61	522
21	64	518
22	66	512
23	69	506
24	71	502
25	74	497
26	76	492
27	79	486
28	81	482
29	84	478
30	86	474
31	89	469
32	92	467
33	95	465
34	98	462
35	100	458
36	103	454
37	106	455
38	109	452
39	112	450
40	116	449
41	118	446
42	121	444
43	124	440
44	127	437
45	129	433
46	132	431
47	135	427
48	138	428
49	141	425
50	144	421
51	146	418
52	149	414
53	152	411
54	155	409
55	157	406
56	160	402
57	162	398
58	165	394
59	168	392
60	171	390
61	174	388
62	177	385
63	180	382
64	182	379
65	185	377
66	188	374
67	191	370
68	193	367
69	196	365
70	199	361
71	201	358
72	204	356
73	207	352
74	210	350
75	214	349
76	216	346
77	219	343
78	222	340
79	224	337
80	227	334
81	230	331
82	233	329
83	236	326
84	239	323
85	242	321
86	245	318
87	247	315
88	250	312
89	253	310
90	256	307
91	259	304
92	262	301
93	265	298
94	268	296
95	270	293
96	273	290
97	276	287
98	279	284
99	282	282
100	285	280
101	288	277
102	292	275
103	296	273
104	301	272
105	304	270
106	307	267
107	310	264
108	313	261
109	316	259
110	319	256
111	322	253
112	325	250
113	328	247
114	331	244
115	334	242
116	337	239
117	339	236
118	342	233
119	345	230
120	348	227
121	351	224
122	354	221
123	357	219
124	360	216
125	363	213
126	366	210
127	369	207
128	372	204
129	374	201
130	377	198
131	380	195
132	383	193
133	386	190
134	389	187
135	391	184
136	395	181
137	399	179
138	403	177
139	408	175
140	412	172
141	416	170
142	418	166
143	421	163
144	424	161
145	427	158
146	430	155
147	433	152
148	436	149
149	439	146
150	443	143
151	446	140
152	449	138
153	452	135
154	455	132
155	458	129
156	462	126
157	465	123
158	468	120
159	471	117
160	475	115
161	478	112
162	481	109
163	485	106
164	487	103
165	490	100
166	493	97
167	496	94
168	499	91
169	502	88
170	505	85
171	508	82
172	512	79
173	515	76
174	518	74
175	521	71
176	524	68
177	527	65
178	530	62
179	533	59
180	537	56
181	540	53
182	543	50
183	547	47
184	549	44
185	552	41
186	555	38
187	558	35
188	561	32
189	564	29
190	567	26
191	570	23
192	573	20
193	577	17
194	579	14
195	582	11
196	585	8
197	588	5
198	591	2
199	595	0
